speed 3 :  NMSE: 0.08503443499406178 SE: 6.238468488057454 SE0: 7.3309173583984375 SE_per 0.850980604891221
speed 4 :  NMSE: 0.08358402301867802 SE: 6.625665346781413 SE0: 7.3309173583984375 SE_per 0.903797577146457
speed 5 :  NMSE: 0.09494564930597942 SE: 6.881607373555501 SE0: 7.3309173583984375 SE_per 0.9387102646399091
speed 6 :  NMSE: 0.13625978430112204 SE: 6.780415058135986 SE0: 7.3309173583984375 SE_per 0.9249067649587148
speed 7 :  NMSE: 0.1606642206509908 SE: 6.737748622894287 SE0: 7.3309173583984375 SE_per 0.9190866972706212
speed 8 :  NMSE: 0.22303766012191772 SE: 6.563090960184733 SE0: 7.3309173583984375 SE_per 0.8952618941565249
speed 9 :  NMSE: 0.24573135375976562 SE: 6.451318740844727 SE0: 7.3309173583984375 SE_per 0.8800152048439032
---------------------------------------------------------------
loading  3 th model...... cnn
speed 0 :  NMSE: 0.061375716080268226 SE: 7.1150743166605634 SE0: 7.3309173583984375 SE_per 0.9705571579673313
speed 1 :  NMSE: 0.03967098270853361 SE: 7.010260423024495 SE0: 7.3309173583984375 SE_per 0.9562596439575749
speed 2 :  NMSE: 0.0589212030172348 SE: 7.070694764455159 SE0: 7.3309173583984375 SE_per 0.9645034064331441
speed 3 :  NMSE: 0.053933385759592056 SE: 6.437486330668132 SE0: 7.3309173583984375 SE_per 0.8781283454645994
speed 4 :  NMSE: 0.05953322475155195 SE: 6.744532585144043 SE0: 7.3309173583984375 SE_per 0.9200120879029388
speed 5 :  NMSE: 0.06916449343164761 SE: 6.946257591247559 SE0: 7.3309173583984375 SE_per 0.9475291087942486
speed 6 :  NMSE: 0.09103099753459294 SE: 6.873211065928142 SE0: 7.3309173583984375 SE_per 0.9375649362700919
speed 7 :  NMSE: 0.10859768837690353 SE: 6.832114855448405 SE0: 7.3309173583984375 SE_per 0.9319590607062846
speed 8 :  NMSE: 0.15776690592368445 SE: 6.686547597249349 SE0: 7.3309173583984375 SE_per 0.9121024382561227
speed 9 :  NMSE: 0.16842754681905112 SE: 6.5405832926432295 SE0: 7.3309173583984375 SE_per 0.8921916552708391
---------------------------------------------------------------
loading  4 th model...... gru
speed 0 :  NMSE: 0.1361611063281695 SE: 7.0091705322265625 SE0: 7.3309173583984375 SE_per 0.9561109735054815
speed 1 :  NMSE: 0.07996226474642754 SE: 6.9396131833394366 SE0: 7.3309173583984375 SE_per 0.946622754570993
speed 2 :  NMSE: 0.10845211893320084 SE: 6.9662526448567705 SE0: 7.3309173583984375 SE_per 0.9502566055905813
speed 3 :  NMSE: 0.10349839925765991 SE: 6.3679609298706055 SE0: 7.3309173583984375 SE_per 0.8686444845235295
speed 4 :  NMSE: 0.09102891385555267 SE: 6.6826192537943525 SE0: 7.3309173583984375 SE_per 0.9115665785181193
speed 5 :  NMSE: 0.09746655076742172 SE: 6.886829535166423 SE0: 7.3309173583984375 SE_per 0.9394226122705831
speed 6 :  NMSE: 0.1327384759982427 SE: 6.80777629216512 SE0: 7.3309173583984375 SE_per 0.9286390719390668
speed 7 :  NMSE: 0.1591173658768336 SE: 6.771297772725423 SE0: 7.3309173583984375 SE_per 0.9236630890359303
speed 8 :  NMSE: 0.2198472966750463 SE: 6.573103745778401 SE0: 7.3309173583984375 SE_per 0.8966277239843837
speed 9 :  NMSE: 0.2415881703297297 SE: 6.467079321543376 SE0: 7.3309173583984375 SE_per 0.8821650832190282
---------------------------------------------------------------
loading  5 th model...... lstm
speed 0 :  NMSE: 0.1688111275434494 SE: 6.960273265838623 SE0: 7.3309173583984375 SE_per 0.9494409670114208
speed 1 :  NMSE: 0.10943301518758138 SE: 6.868634382883708 SE0: 7.3309173583984375 SE_per 0.9369406374517195
speed 2 :  NMSE: 0.12234218418598175 SE: 6.937007427215576 SE0: 7.3309173583984375 SE_per 0.9462673070878925
speed 3 :  NMSE: 0.11535835017760594 SE: 6.351502418518066 SE0: 7.3309173583984375 SE_per 0.8663994024215353
speed 4 :  NMSE: 0.09239728252092998 SE: 6.678207556406657 SE0: 7.3309173583984375 SE_per 0.9109647851582963
speed 5 :  NMSE: 0.10255168378353119 SE: 6.868821461995442 SE0: 7.3309173583984375 SE_per 0.936966156647011
speed 6 :  NMSE: 0.14050991336504617 SE: 6.78086789449056 SE0: 7.3309173583984375 SE_per 0.9249685357211495
speed 7 :  NMSE: 0.17142103612422943 SE: 6.739699522654216 SE0: 7.3309173583984375 SE_per 0.9193528167294218
speed 8 :  NMSE: 0.24117344121138254 SE: 6.539816697438558 SE0: 7.3309173583984375 SE_per 0.8920870851103538
speed 9 :  NMSE: 0.23676250874996185 SE: 6.4616265296936035 SE0: 7.3309173583984375 SE_per 0.8814212756458156
---------------------------------------------------------------
loading  6 th model...... rnn
speed 0 :  NMSE: 0.21383129060268402 SE: 6.8906809488932295 SE0: 7.3309173583984375 SE_per 0.9399479781338873
speed 1 :  NMSE: 0.11457271128892899 SE: 6.821595827738444 SE0: 7.3309173583984375 SE_per 0.9305241751120676
speed 2 :  NMSE: 0.12772067139546076 SE: 6.9003245035807295 SE0: 7.3309173583984375 SE_per 0.9412634416995013
speed 3 :  NMSE: 0.11578514923652013 SE: 6.316061496734619 SE0: 7.3309173583984375 SE_per 0.8615649567374838
speed 4 :  NMSE: 0.09579681853453319 SE: 6.643020311991374 SE0: 7.3309173583984375 SE_per 0.9061649432428813
speed 5 :  NMSE: 0.1038842424750328 SE: 6.8464616139729815 SE0: 7.3309173583984375 SE_per 0.9339160816114705
speed 6 :  NMSE: 0.1405272235472997 SE: 6.756446520487468 SE0: 7.3309173583984375 SE_per 0.9216372508615385
speed 7 :  NMSE: 0.15727843344211578 SE: 6.7205478350321455 SE0: 7.3309173583984375 SE_per 0.9167403622867142
speed 8 :  NMSE: 0.2161962389945984 SE: 6.479881127675374 SE0: 7.3309173583984375 SE_per 0.8839113593678559
speed 9 :  NMSE: 0.22956949472427368 SE: 6.362750212351481 SE0: 7.3309173583984375 SE_per 0.867933697965125
---------------------------------------------------------------
loading  7 th model...... pad
speed 0 :  NMSE: 0.08184028950869106 SE: 7.1721505308151245 SE0: 7.330916404724121 SE_per 0.9783429703540629
speed 1 :  NMSE: 0.14822428951505573 SE: 6.999360209703445 SE0: 7.330916404724121 SE_per 0.9547728855826241
speed 2 :  NMSE: 0.13173556403955444 SE: 7.090062623023987 SE0: 7.330916404724121 SE_per 0.9671454742622729
speed 3 :  NMSE: 0.336003515352495 SE: 6.43832093834877 SE0: 7.330916404724121 SE_per 0.8782423073600795
speed 4 :  NMSE: 0.26364306242670865 SE: 6.711003085374832 SE0: 7.330916404724121 SE_per 0.9154384956634057
speed 5 :  NMSE: 0.19139625204727054 SE: 6.952646180391311 SE0: 7.330916404724121 SE_per 0.9484006905208947
speed 6 :  NMSE: 0.2277076914999634 SE: 6.860450665950776 SE0: 7.330916404724121 SE_per 0.9358244300166658
speed 7 :  NMSE: 0.24408791973255575 SE: 6.867069554328919 SE0: 7.330916404724121 SE_per 0.9367273032746227
speed 8 :  NMSE: 0.3036568131111562 SE: 6.755175075531006 SE0: 7.330916404724121 SE_per 0.9214639347378042
speed 9 :  NMSE: 0.34516074125654994 SE: 6.606663395166397 SE0: 7.330916404724121 SE_per 0.9012056652165604
---------------------------------------------------------------
loading  8 th model...... np
speed 0 :  NMSE: 0.044482516745726265 SE: 7.062012672424316 SE0: 7.3309173583984375 SE_per 0.9633190946197124
speed 1 :  NMSE: 0.23737534383932749 SE: 6.713173707326253 SE0: 7.3309173583984375 SE_per 0.9157344680247301
speed 2 :  NMSE: 0.6616308093070984 SE: 6.353381633758545 SE0: 7.3309173583984375 SE_per 0.8666557434970933
speed 3 :  NMSE: 1.116977572441101 SE: 5.2832949956258135 SE0: 7.3309173583984375 SE_per 0.7206867486472441
speed 4 :  NMSE: 1.5938184261322021 SE: 5.4423041343688965 SE0: 7.3309173583984375 SE_per 0.7423769588855192
speed 5 :  NMSE: 2.0483858585357666 SE: 5.8778486251831055 SE0: 7.3309173583984375 SE_per 0.80178896280277
speed 6 :  NMSE: 2.2929116090138755 SE: 5.813584963480632 SE0: 7.3309173583984375 SE_per 0.7930228482006387
speed 7 :  NMSE: 2.431738297144572 SE: 5.746398289998372 SE0: 7.3309173583984375 SE_per 0.7838580097230519
speed 8 :  NMSE: 2.504594882329305 SE: 5.585652987162272 SE0: 7.3309173583984375 SE_per 0.7619309718125853
speed 9 :  NMSE: 2.278876701990763 SE: 5.410105387369792 SE0: 7.3309173583984375 SE_per 0.7379847736479901
